date,scaled,outcome
1928-01-03,0.2263871747969512,0
1928-01-04,0.18509012405741304,0
1928-01-05,0.14649068400752055,0
1928-01-06,0.22953203005188338,0
1928-01-09,0.14930614974779263,0
1928-01-10,0.15790396401524548,0
1928-01-11,0.19085358355554716,0
1928-01-12,0.23289990195412316,0
1928-01-13,0.22968110732787927,0
1928-01-16,0.1099380064372005,0
1928-01-17,0.19989702800068407,0
1928-01-18,0.18477640593257372,0
1928-01-19,0.23308709980389167,0
1928-01-20,0.2268612684867957,0
1928-01-23,0.2444980361069591,0
1928-01-24,0.217574403345162,0
1928-01-25,0.14049907074407145,0
1928-01-26,0.22958777498479047,0
1928-01-27,0.21463240999705518,0
1928-01-30,0.13744751026092464,0
1928-01-31,0.22072714592769074,0
1928-02-01,0.1849625383610752,0
1928-02-02,0.22660541159546443,0
1928-02-03,0.12824049764546142,0
1928-02-06,0.21187240720021078,0
1928-02-07,0.19387896319341966,0
1928-02-08,0.21183805867577205,0
1928-02-09,0.21477430735937714,0
1928-02-10,0.1938960395125845,0
1928-02-14,0.16699160736603447,0
1928-02-15,0.1848736392916957,0
1928-02-16,0.18183444120015396,0
1928-02-17,0.10264485994783275,0
1928-02-20,0.1691966065153684,0
1928-02-21,0.24598016019105784,0
1928-02-23,0.2029808353457266,0
1928-02-24,0.21210844944801163,0
1928-02-27,0.1755357248915879,0
1928-02-28,0.21212622997655148,0
1928-02-29,0.22724459302165023,0
1928-03-01,0.20897360052431038,0
1928-03-02,0.19687500322844204,0
1928-03-05,0.27781609653393635,0
1928-03-06,0.2265379188187288,0
1928-03-07,0.1701859663516605,0
1928-03-08,0.21468282862589455,0
1928-03-09,0.28210104635860767,0
1928-03-12,0.21724026244072914,0
1928-03-13,0.17359393267248022,0
1928-03-14,0.19979081457211678,0
1928-03-15,0.23752647692159942,0
1928-03-16,0.25154395321414186,0
1928-03-19,0.22542008618626527,0
1928-03-20,0.2252650333687152,0
1928-03-21,0.2503948684876578,0
1928-03-22,0.18284387614942121,0
1928-03-23,0.2472117489449893,0
1928-03-26,0.27148265434095414,0
1928-03-27,0.1666077385012412,0
1928-03-28,0.18305899809647838,0
1928-03-29,0.21344983222914782,0
1928-03-30,0.2871087516135982,0
1928-04-02,0.09559721122427664,0
1928-04-03,0.22719014683932726,0
1928-04-04,0.18862465945059484,0
1928-04-05,0.26251595012590073,0
1928-04-09,0.2077354574176943,0
1928-04-10,0.15056140393053885,0
1928-04-11,0.2890954121800838,0
1928-04-12,0.18880304533370465,0
1928-04-13,0.28233982746109515,0
1928-04-16,0.18361290096434102,0
1928-04-17,0.15420871161377753,0
1928-04-18,0.19687500322844204,0
1928-04-19,0.22624545531991214,0
1928-04-20,0.11908493023716418,0
1928-04-23,0.14527404252125273,0
1928-04-24,0.22409689652562387,0
1928-04-25,0.2185508941116923,0
1928-04-26,0.2345928389647687,0
1928-04-27,0.2529462565333449,0
1928-04-30,0.2154325382636441,0
1928-05-01,0.2048081062409517,0
1928-05-02,0.21007014201671279,0
1928-05-03,0.22316576137031502,0
1928-05-04,0.27754593139205425,0
1928-05-07,0.2405909082040904,0
1928-05-08,0.16090028707547271,0
1928-05-09,0.189133814405763,0
1928-05-10,0.18912233179761667,0
1928-05-11,0.2355238731882354,0
1928-05-14,0.21737146752717734,0
1928-05-15,0.18407413545813583,0
1928-05-16,0.10898761203463049,0
1928-05-17,0.2150906760782463,0
1928-05-18,0.14466086570015363,0
1928-05-21,0.12022576137867855,0
1928-05-22,0.1244870926798339,0
1928-05-23,0.3011162883354467,0
1928-05-24,0.22853542329946425,0
1928-05-25,0.20476023232977625,0
1928-05-28,0.10947619649903802,0
1928-05-29,0.26322003849608233,0
1928-05-31,0.2441272841709156,0
1928-06-01,0.2151361357983946,0
1928-06-04,0.12608486872467584,0
1928-06-05,0.21005683038717027,0
1928-06-06,0.14660620658443513,0
1928-06-07,0.1835656206913589,0
1928-06-08,0.13251390222605652,0
1928-06-11,0.007295835958177308,0
1928-06-12,0.10086791817674616,0
1928-06-13,0.35131145679169656,0
1928-06-14,0.24095827308760653,0
1928-06-15,0.1111232291349026,0
1928-06-18,0.101178136135076,0
1928-06-19,0.1798039209929285,0
1928-06-20,0.26201353751692186,0
1928-06-21,0.1940597100292218,0
1928-06-22,0.191239863385552,0
1928-06-25,0.1771040302412812,0
1928-06-26,0.2559649600209293,0
1928-06-27,0.24699720437851563,0
1928-06-28,0.2547497974034981,0
1928-06-29,0.21602505966158891,0
1928-07-02,0.15299989396716152,0
1928-07-03,0.28155119165095127,0
1928-07-05,0.24810329173602602,0
1928-07-06,0.17267155103224,0
1928-07-09,0.2157095882879575,0
1928-07-10,0.18881134768505356,0
1928-07-11,0.06613530399369229,0
1928-07-12,0.1581183194032046,0
1928-07-13,0.23838905546265035,0
1928-07-16,0.12470636635667179,0
1928-07-17,0.22475022502572525,0
1928-07-18,0.26042937291779883,0
1928-07-19,0.18587743641863025,0
1928-07-20,0.20787257003825385,0
1928-07-23,0.2215352457166399,0
1928-07-24,0.18866784368078182,0
1928-07-25,0.22690512432610085,0
1928-07-26,0.20775240923146637,0
1928-07-27,0.2455451172419364,0
1928-07-30,0.21031443387327645,0
1928-07-31,0.18612622473980164,0
1928-08-01,0.19418435107224805,0
1928-08-02,0.17259659813694977,0
1928-08-03,0.204980342197869,0
1928-08-06,0.2559331649095089,0
1928-08-07,0.17279544935851765,0
1928-08-08,0.13211516556462236,0
1928-08-09,0.21043296594905914,0
1928-08-10,0.18331704050782496,0
1928-08-13,0.20772418553186967,0
